Liga,Time,Data,Season,Opp_Rank,PV_Rank,Tier,Contro,Game_ID,Total_GA,Tot_pay_Num,Total_num,Tot_Eur,Par_O_Tot_Num,Par_O_Tot_Eur,Par_O_Tot_Eur_per_Num,Par_O_Abb_Num,Par_O_Abb_Eur,Par_O_Abb_Eur_per_Num,Par_O_Corp_Num,Par_O_Corp_Eur,Par_O_Corp_Eur_per_Num,Par_O_VB_Num,Par_O_VB_Eur,Par_O_VB_Eur_per_Num,Par_O_MP_Num,Par_O_MP_Eur,Par_O_MP_Eur_per_Num,Par_O_Tix_Num,Par_O_Tix_Eur,Par_O_Tix_Eur_per_Num,Par_O_Prot,Par_O_Free_Num,Par_EX_Tot_Num,Par_EX_Tot_Eur,Par_EX_Tot_Eur_per_Num,Par_EX_Abb_Num,Par_EX_Abb_Eur,Par_EX_Abb_Eur_per_Num,Par_EX_Corp_Num,Par_EX_Corp_Eur,Par_EX_Corp_Eur_per_Num,Par_EX_VB_Num,Par_EX_VB_Eur,Par_EX_VB_Eur_per_Num,Par_EX_MP_Num,Par_EX_MP_Eur,Par_EX_MP_Eur_per_Num,Par_EX_Tix_Num,Par_EX_Tix_Eur,Par_EX_Tix_Eur_per_Num,Par_EX_Prot,Par_EX_Free_Num,Par_E_Tot_Num,Par_E_Tot_Eur,Par_E_Tot_Eur_per_Num,Par_E_Abb_Num,Par_E_Abb_Eur,Par_E_Abb_Eur_per_Num,Par_E_Corp_Num,Par_E_Corp_Eur,Par_E_Corp_Eur_per_Num,Par_E_VB_Num,Par_E_VB_Eur,Par_E_VB_Eur_per_Num,Par_E_MP_Num,Par_E_MP_Eur,Par_E_MP_Eur_per_Num,Par_E_Tix_Num,Par_E_Tix_Eur,Par_E_Tix_Eur_per_Num,Par_E_Prot,Par_E_Free_Num,Trib_G_Tot_Num,Trib_G_Tot_Eur,Trib_G_Tot_Eur_per_Num,Trib_G_Abb_Num,Trib_G_Abb_Eur,Trib_G_Abb_Eur_per_Num,Trib_G_Corp_Num,Trib_G_Corp_Eur,Trib_G_Corp_Eur_per_Num,Trib_G_VB_Num,Trib_G_VB_Eur,Trib_G_VB_Eur_per_Num,Trib_G_MP_Num,Trib_G_MP_Eur,Trib_G_MP_Eur_per_Num,Trib_G_Tix_Num,Trib_G_Tix_Eur,Trib_G_Tix_Eur_per_Num,Trib_G_Prot,Trib_G_Free_Num,Trib_S_Tot_Num,Trib_S_Tot_Eur,Trib_S_Tot_Eur_per_Num,Trib_S_Abb_Num,Trib_S_Abb_Eur,Trib_S_Abb_Eur_per_Num,Trib_S_Corp_Num,Trib_S_Corp_Eur,Trib_S_Corp_Eur_per_Num,Trib_S_VB_Num,Trib_S_VB_Eur,Trib_S_VB_Eur_per_Num,Trib_S_MP_Num,Trib_S_MP_Eur,Trib_S_MP_Eur_per_Num,Trib_S_Tix_Num,Trib_S_Tix_Eur,Trib_S_Eur_per_Num,Trib_S_Prot,Trib_S_Free_Num,Gall_G_Tot_Num,Gall_G_Tot_Eur,Gall_G_Tot_Eur_per_Num,Gall_G_Abb_Num,Gall_G_Abb_Eur,Gall_G_Abb_Eur_per_Num,Gall_G_Corp_Num,Gall_G_Corp_Eur,Gall_G_Corp_Eur_per_Num,Gall_G_VB_Num,Gall_G_VB_Eur,Gall_G_VB_Eur_per_Num,Gall_G_MP_Num,Gall_G_MP_Eur,Gall_G_MP_Eur_per_Num,Gall_G_Tix_Num,Gall_G_Tix_Eur,Gall_G_Tix_Eur_per_Num,Gall_G_Prot,Gall_G_Free_Num,Gall_S_Tot_Num,Gall_S_Tot_Eur,Gall_S_Tot_Eur_per_Num,Gall_S_Abb_Num,Gall_S_Abb_Eur,Gall_S_Abb_Eur_per_Num,Gall_S_Corp_Num,Gall_S_Corp_Eur,Gall_S_Corp_Eur_per_Num,Gall_S_VB_Num,Gall_S_VB_Eur,Gall_S_VB_Eur_per_Num,Gall_S_MP_Num,Gall_S_MP_Eur,Gall_S_MP_Eur_per_Num,Gall_S_Tix_Num,Gall_S_Tix_Eur,Gall_S_Tix_Eur_per_Num,Gall_S_Prot,Gall_S_Free_Num,Curva_Tot_Num,Curva_Tot_Eur,Curva_Tot_Eur_per_Num,Curva_Abb_Num,Curva_Abb_Eur,Curva_Abb_Eur_per_Num,Curva_Corp_Num,Curva_Corp_Eur,Curva_Corp_Eur_per_Num,Curva_VB_Num,Curva_VB_Eur,Curva_VB_Eur_per_Num,Curva_MP_Num,Curva_MP_Eur,Curva_MP_Eur_per_Num,Curva_Tix_Num,Curva_Tix_Eur,Curva_Tix_Eur_per_Num,Curva_Prot,Curva_Free_Num,Courtside_Tot_Num,Courtside_Tot_Eur,Courtside_Tot_Eur_per_Num,Courtside_Abb_Num,Courtside_Abb_Eur,Courtside_Abb_Eur_per_Num,Courtside_Corp_Num,Courtside_Corp_Eur,Courtside_Corp_Eur_per_Num,Courtside_VB_Num,Courtside_VB_Eur,Courtside_VB_Eur_per_Num,Courtside_MP_Num,Courtside_MP_Eur,Courtside_MP_Eur_per_Num,Courtside_Tix_Num,Courtside_Tix_Eur,Courtside_Tix_Eur_per_Num,Courtside_Prot,Courtside_Free_Num,SkyBoxes_Tot_Num,SkyBoxes_Tot_Eur,SkyBoxes_Tot_Eur_per_Num,SkyBoxes_Abb_Num,SkyBoxes_Abb_Eur,SkyBoxes_Abb_Eur_per_Num,SkyBoxes_Corp_Num,SkyBoxes_Corp_Eur,SkyBoxes_Corp_Eur_per_Num,SkyBoxes_VB_Num,SkyBoxes_VB_Eur,SkyBoxes_VB_Eur_per_Num,SkyBoxes_MP_Num,SkyBoxes_MP_Eur,SkyBoxes_MP_Eur_per_Num,SkyBoxes_Tix_Num,SkyBoxes_Tix_Eur,SkyBoxes_Tix_Eur_per_Num,SkyBoxes_Prot,SkyBoxes_Free_Num,Ospiti_Tix_Num,Ospiti_Tix_Eur,Ospiti_Tix_Eur_per_Num,Ospiti_Free_Num,Press,Abb_num,Abb_Eur,Abb_Eur_per_Num,Corp_Num,Corp_Eur,Corp_Eur_per_Num,VB_Num,VB_Eur,VB_Eur_per_Num,MP_num,MP_Eur,MP_Eur_per_Num,Tix_Num,Tix_Eur,Tix_Eur_per_Num,Full_Price,Sponsor,Disabili,LBA,Promotion,Special,Staff,Team,Under_18,Under_30,VNC,InstitutionalGA,VIPGA,TeamGA,SponsorGA,DisabileGA,StaffGA,AutoritiesGA,AgentGA,PromotionGA,1,2,3,4,5,6,7,8,9,10,11,12
LBA,19.30,04/10/2023,23-24,8,8,4,Pistoia,45203.8125Pistoia,668,3544,4212,"€ 88,521.99",260,"€ 26,186.79",€ 100.72,78,"€ 5,834.16",€74.8,180,"€ 13,860.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,2,€ 163.94,€ 81.97,70,37,,,,,,,,,,,,,,,,,,,,,80,"€4,011.66",€ 36.47,29,"€1,109.29",€38.25,46,,,0,€0.00,€0.0,0,€ 0.00,€0.0,5,€ 344.27,€ 68.85,30,40,1216,"€26,949.20",€ 21.34,707,"€14,569.44",€ 20.61,148,,,7,€ 32.51,€ 4.64,0,€ 0.00,€ 0.00,354,"€ 8,252.46",€ 23.31,47,300,644,"€10,620.73",€ 15.92,489,"€7,614.87",€ 15.57,12,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,143,"€ 2,697.11",€ 18.86,23,0,892,"€9,528.64",€ 10.60,375,"€4,283.51",€ 11.42,38,,,22,€ 118.18,€ 5.37,0,€ 0.00,€ 0.00,457,"€ 4,462.37",€ 9.76,7,60,,,,,,,,,,,,,,,,,,,,,386,"€3,892.31",€ 8.87,247,"€2,328.22",€ 9.43,2,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,137,"€ 1,540.09",€ 11.24,53,1,30,"€7,005.42",€ 233.51,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,36,€ 327.24,€9.1,,112,1929,"€ 36,351.51",€ 18.84,452,"€ 34,232.32",€ 75.74,29,€ 150.69,€ 5.20,0,€ 0.00,,1098,"€ 17,460.24",€ 15.90,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 88,521.99",€ 0.00,€ 0.00
LBA,20.30,15/10/2023,23-24,9,10,2,Tortona,45214.8541Tortona,611,3632,4243,"€ 91,080.44",260,"€26,268.76",€ 101.03,78,"€ 5,834.16",€74.8,181,"€ 13,937.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,1,€ 81.97,€ 81.97,70,41,,,,,,,,,,,,,,,,,,,,,84,"€4,200.20",€ 36.84,29,"€1,109.29",€38.25,48,,,0,€0.00,€0.0,0,€ 0.00,€0.0,7,€ 368.87,€ 52.70,30,52,1459,"€30,187.20",€ 20.04,707,"€14,569.44",€ 20.61,172,,,37,€ 321.21,€ 8.68,0,€ 0.00,€ 0.00,543,"€ 10,434.55",€ 19.22,47,237,665,"€10,867.20",€ 15.80,489,"€7,614.87",€ 15.57,12,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,164,"€ 2,943.58",€ 17.95,23,2,740,"€8,656.59",€ 11.59,375,"€4,283.51",€ 11.42,34,,,57,€ 329.99,€ 5.79,0,€ 0.00,€ 0.00,274,"€ 3,450.64",€ 12.59,7,46,,,,,,,,,,,,,,,,,,,,,385,"€3,813.26",€ 8.71,247,"€2,328.22",€ 9.43,2,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,136,"€ 1,461.04",€ 10.74,53,3,30,"€7,005.42",€ 233.51,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,9,€ 81.81,€9.1,,112,1929,"€ 36,351.51",€ 18.84,475,"€ 35,255.28",€ 74.22,94,€ 651.20,€ 6.93,0,€ 0.00,,1125,"€ 18,740.65",€ 16.66,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 91,080.44",€ 0.00,€ 0.00
LBA,16.30,22/10/2023,23-24,6,12,3,Trento,45221.6875Trento,723,3863,4586,"€ 98,902.66",296,"€32,060.56",€ 108.31,78,"€ 5,834.16",€74.8,216,"€ 16,632.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,2,€ 136.07,€ 68.04,70,18,,,,,,,,,,,,,,,,,,,,,94,"€5,118.24",€ 41.28,29,"€1,109.29",€38.25,60,,,0,€0.00,€0.0,0,€ 0.00,€0.0,5,€ 303.30,€ 60.66,30,30,1455,"€29,833.98",€ 19.86,707,"€14,569.44",€ 20.61,135,,,43,€ 457.37,€ 10.64,3,€ 53.26,€ 17.75,567,"€ 11,074.69",€ 19.53,47,311,659,"€10,675.46",€ 15.65,489,"€7,614.87",€ 15.57,10,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,160,"€ 2,805.94",€ 17.54,23,14,924,"€10,207.33",€ 10.96,375,"€4,283.51",€ 11.42,34,,,94,€ 535.44,€ 5.70,0,€ 0.00,€ 0.00,421,"€ 4,795.93",€ 11.39,7,113,,,,,,,,,,,,,,,,,,,,,396,"€3,919.86",€ 8.73,247,"€2,328.22",€ 9.43,2,,,7,€ 39.09,€ 5.58,0,€ 0.00,€ 0.00,140,"€ 1,528.55",€ 10.92,53,7,30,"€7,005.42",€ 233.51,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,9,€ 81.81,€9.1,,112,1929,"€ 36,351.51",€ 18.84,483,"€ 40,739.71",€ 84.35,144,"€ 1,031.90",€ 7.17,3,€ 53.26,€ 17.75,1295,"€ 20,644.48",€ 15.94,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 98,902.66",€ 0.00,€ 0.00
FEC,20.30,25/10/2023,23-24,2,1,4,Gottingen,45224.8541Gottingen,897,698,1595,"€9,351",26,"€1,060.13",€ 40.77,14,€ 515.04,€36.8,0,€ 0.00,,0,€ 0.00,€0.0,0,€ 0.00,€0.0,12,€ 545.09,€ 45.42,56,37,,,,,,,,,,,,,,,,,,,,,7,€336.08,€ 48.01,2,€73.77,€36.89,0,,,0,€0.00,€0.0,0,€ 0.00,€0.0,5,€ 262.31,€ 52.46,2,24,369,"€4,975.52",€ 13.48,150,"€2,001.84",€ 13.35,0,,,5,€ 12.73,€ 2.55,3,€ 53.26,€ 17.75,211,"€ 2,907.69",€ 13.78,5,635,74,"€1,038.32",€ 14.03,65,€904.11,€ 13.91,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,9,€ 134.21,€ 14.91,0,104,105,"€1,084.38",€ 10.33,49,€496.08,€ 10.12,0,,,9,€ 26.39,€ 2.93,0,€ 0.00,€ 0.00,47,€ 561.91,€ 11.96,0,2,,,,,,,,,,,,,,,,,,,,,117,€856.14,€ 7.32,26,€180.91,€ 6.96,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,91,€ 675.23,€ 7.42,0,21,0,€0.00,#DIV/0!,0,€0.00,€ 0.00,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,11,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,€ 0.00,€0.0,,0,306,"€ 4,171.75",€ 13.63,0,€ 0.00,,14,€ 39.12,€ 2.79,3,€ 53.26,€ 17.75,375,"€ 5,086.44",€ 13.56,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 9,350.57",€ 0.00,€ 0.00
FEC,20.30,02/11/2023,23-24,3,2,4,TSU Tbilisi,45232.8541TSU Tbilisi,1053,703,1756,"€8,839",28,"€1,197.19",€ 42.76,14,€ 515.04,€36.8,0,€ 0.00,,0,€ 0.00,€0.0,0,€ 0.00,€0.0,14,€ 682.15,€ 48.73,56,20,,,,,,,,,,,,,,,,,,,,,3,€106.56,€ 35.52,2,€73.77,€36.89,0,,,0,€0.00,€0.0,0,€ 0.00,€0.0,1,€ 32.79,€ 32.79,2,11,398,"€4,706.06",€ 11.82,150,"€2,001.84",€ 13.35,0,,,19,€ 82.73,€ 4.35,15,€ 207.07,€ 13.80,214,"€ 2,414.42",€ 11.28,5,774,83,"€1,148.03",€ 13.83,65,€904.11,€ 13.91,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,18,€ 243.92,€ 13.55,0,181,92,€961.60,€ 10.45,49,€496.08,€ 10.12,0,,,1,€ 4.55,€ 4.55,2,€ 23.63,€ 11.82,40,€ 437.34,€ 10.93,0,0,,,,,,,,,,,,,,,,,,,,,99,€719.84,€ 7.27,26,€180.91,€ 6.96,0,,,0,€ 0.00,€ 0.00,1,€ 10.61,€ 10.61,72,€ 528.32,€ 7.34,0,0,0,€0.00,€ 0.00,0,€0.00,€ 0.00,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,4,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,€ 0.00,€0.0,,0,306,"€ 4,171.75",€ 13.63,0,€ 0.00,,20,€ 87.28,€ 4.36,18,€ 241.31,€ 13.41,359,"€ 4,338.94",€ 12.09,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 8,839.28",€ 0.00
LBA,19.00,05/11/2023,23-24,13,12,2,Sassari,45235.7916Sassari,687,3663,4350,"€ 92,684.61",272,"€27,875.30",€ 102.48,78,"€ 5,834.16",€74.8,185,"€ 14,245.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,9,"€ 1,032.78",€ 114.75,70,44,,,,,,,,,,,,,,,,,,,,,79,"€3,931.33",€ 36.07,29,"€1,109.29",€38.25,44,,,0,€0.00,€0.0,0,€ 0.00,€0.0,6,€ 427.87,€ 71.31,30,46,1449,"€29,509.37",€ 19.73,707,"€14,569.44",€ 20.61,175,,,41,€ 324.85,€ 7.92,0,€ 0.00,€ 0.00,526,"€ 9,657.18",€ 18.36,47,259,647,"€10,647.84",€ 15.89,489,"€7,614.87",€ 15.57,11,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,147,"€ 2,751.27",€ 18.72,23,10,778,"€9,163.00",€ 11.67,375,"€4,283.51",€ 11.42,36,,,73,€ 409.99,€ 5.62,0,€ 0.00,€ 0.00,294,"€ 3,840.98",€ 13.06,7,96,,,,,,,,,,,,,,,,,,,,,391,"€3,925.20",€ 8.84,247,"€2,328.22",€ 9.43,2,,,14,€ 78.18,€ 5.58,0,€ 0.00,€ 0.00,128,"€ 1,494.80",€ 11.68,53,2,32,"€7,497.22",€ 234.29,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,2,€ 491.80,€ 245.90,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,15,€ 135.35,€9.0,,112,1929,"€ 36,351.51",€ 18.84,479,"€ 35,688.06",€ 74.51,128,€ 813.02,€ 6.35,0,€ 0.00,,1112,"€ 19,696.68",€ 17.71,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 92,684.61",€ 0.00
FEC,20.30,10/11/2023,23-24,4,2,4,Keravnos,45240.8541Keravnos,1404,708,2112,"€7,907",19,€687.18,€ 36.17,14,€ 515.04,€36.8,0,€ 0.00,,0,€ 0.00,€0.0,0,€ 0.00,€0.0,5,€ 172.14,€ 34.43,56,35,,,,,,,,,,,,,,,,,,,,,2,€73.77,€ 36.89,2,€73.77,€36.89,0,,,0,€0.00,€0.0,0,€ 0.00,€0.0,0,€ 0.00,#DIV/0!,2,35,435,"€4,452.65",€ 10.24,150,"€2,001.84",€ 13.35,0,,,8,€ 23.64,€ 2.96,15,€ 207.07,€ 13.80,262,"€ 2,220.10",€ 8.47,5,897,112,"€1,374.26",€ 12.27,65,€904.11,€ 13.91,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,47,€ 470.15,€ 10.00,0,360,75,€784.29,€ 10.46,49,€496.08,€ 10.12,0,,,1,€ 0.91,€ 0.91,2,€ 23.63,€ 11.82,23,€ 263.67,€ 11.46,0,0,,,,,,,,,,,,,,,,,,,,,65,€535.18,€ 8.23,26,€180.91,€ 6.96,0,,,0,€ 0.00,€ 0.00,1,€ 10.61,€ 10.61,38,€ 343.66,€ 9.04,0,10,0,€0.00,€ 0.00,0,€0.00,€ 0.00,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,4,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,€ 0.00,€0.0,,0,306,"€ 4,171.75",€ 13.63,0,€ 0.00,,9,€ 24.55,€ 2.73,18,€ 241.31,€ 13.41,375,"€ 3,469.72",€ 9.25,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 7,907.33",€ 0.00
LBA,17.00,19/11/2023,23-24,7,12,4,Scafati,45249.7083Scafati,712,3891,4603,"€ 94,707.69",263,"€26,508.10",€ 100.79,78,"€ 5,834.16",€74.8,180,"€ 13,860.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,5,€ 485.25,€ 97.05,70,60,,,,,,,,,,,,,,,,,,,,,80,"€3,960.01",€ 36.00,29,"€1,109.29",€38.25,44,,,0,€0.00,€0.0,0,€ 0.00,€0.0,7,€ 456.55,€ 65.22,30,41,1495,"€31,433.63",€ 20.38,707,"€14,569.44",€ 20.61,182,,,52,€ 517.84,€ 9.96,0,€ 0.00,€ 0.00,554,"€ 11,164.68",€ 20.15,47,258,671,"€11,059.12",€ 15.94,489,"€7,614.87",€ 15.57,9,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,173,"€ 3,216.65",€ 18.59,23,7,915,"€10,310.73",€ 11.18,375,"€4,283.51",€ 11.42,94,,,83,€ 459.99,€ 5.54,0,€ 0.00,€ 0.00,363,"€ 3,892.81",€ 10.72,7,114,,,,,,,,,,,,,,,,,,,,,398,"€3,897.63",€ 8.64,247,"€2,328.22",€ 9.43,2,,,12,€ 68.18,€ 5.68,0,€ 0.00,€ 0.00,137,"€ 1,477.23",€ 10.78,53,2,32,"€7,202.14",€ 225.07,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,2,€ 196.72,€ 98.36,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,37,€ 336.33,€9.1,,112,1929,"€ 36,351.51",€ 18.84,537,"€ 36,083.96",€ 67.20,147,"€ 1,046.01",€ 7.12,0,€ 0.00,,1241,"€ 20,889.89",€ 16.83,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 94,707.69",€ 0.00
LBA,19.00,03/12/2023,23-24,9,13,3,Cremona,45263.7916Cremona,640,3797,4437,"€ 92,307.71",271,"€27,145.82",€ 100.17,78,"€ 5,834.16",€74.8,185,"€ 14,245.00",€77.0,0,€ 0.00,€0.0,0,€ 0.00,€0.0,8,€ 303.30,€ 37.91,70,51,,,,,,,,,,,,,,,,,,,,,81,"€4,011.65",€ 36.14,29,"€1,109.29",€38.25,45,,,0,€0.00,€0.0,0,€ 0.00,€0.0,7,€ 426.22,€ 60.89,30,47,1446,"€29,466.35",€ 19.74,707,"€14,569.44",€ 20.61,172,,,50,€ 437.60,€ 8.75,0,€ 0.00,€ 0.00,517,"€ 9,597.31",€ 18.56,47,254,662,"€10,942.07",€ 15.97,489,"€7,614.87",€ 15.57,12,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,161,"€ 3,018.45",€ 18.75,23,4,870,"€8,990.75",€ 10.25,375,"€4,283.51",€ 11.42,34,,,68,€ 356.36,€ 5.24,0,€ 0.00,€ 0.00,393,"€ 3,758.43",€ 9.56,7,52,,,,,,,,,,,,,,,,,,,,,394,"€3,997.70",€ 8.94,247,"€2,328.22",€ 9.43,2,,,12,€ 68.18,€ 5.68,0,€ 0.00,€ 0.00,133,"€ 1,577.30",€ 11.86,53,2,34,"€7,398.86",€ 217.61,4,€612.02,€ 153.01,26,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,4,€ 393.44,€ 98.36,0,0,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,39,€ 354.51,€9.1,,112,1929,"€ 36,351.51",€ 18.84,476,"€ 35,665.11",€ 74.93,130,€ 862.14,€ 6.63,0,€ 0.00,,1223,"€ 19,074.45",€ 15.60,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 92,307.71"
FEC,20.30,13/12/2023,23-24,3,4,4,ZZ Leiden,45273.8541ZZ Leiden,1207,641,1848,"€6,619",14,€437.98,€ 31.28,11,€ 368.31,€33.5,0,€ 0.00,,0,€ 0.00,€0.0,0,€ 0.00,€0.0,3,€ 69.67,€ 23.22,56,2,,,,,,,,,,,,,,,,,,,,,2,€90.17,€ 45.09,0,€0.00,#DIV/0!,0,,,0,€0.00,€0.0,0,€ 0.00,€0.0,2,€ 90.17,€ 45.09,2,17,357,"€3,783.43",€ 10.60,90,"€1,242.80",€ 13.81,0,,,13,€ 36.37,€ 2.80,0,€ 0.00,€ 0.00,254,"€ 2,504.26",€ 9.86,7,839,73,€876.70,€ 12.01,40,€560.21,€ 14.01,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,33,€ 316.49,€ 9.59,0,276,126,€950.35,€ 7.54,37,€387.28,€ 10.47,0,,,1,€ 0.91,€ 0.91,0,€ 0.00,€ 0.00,88,€ 562.16,€ 6.39,0,2,,,,,,,,,,,,,,,,,,,,,69,€480.44,€ 6.96,19,€143.94,€ 7.58,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,50,€ 336.50,€ 6.73,0,0,0,€0.00,€ 0.00,0,€0.00,€ 0.00,0,,,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,€ 0.00,€ 0.00,0,6,0,0,0,0,0,€ 0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,€ 0.00,€0.0,,0,197,"€ 2,702.54",€ 13.72,0,€ 0.00,,14,€ 37.28,€ 2.66,0,€ 0.00,,430,"€ 3,879.25",€ 9.02,,,,,,,,,,,,,,,,,,,,,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,€ 0.00,"€ 6,619.07"
